Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,VISIBILITY,DATE_TIME,TIMEIN,TIMEOUT,BENTHOS,DETAIL.BENTHOS,RELIEF,DETIAL.RELIEF
9KR2-2,-31.99074971,115.5608568,20090705,11:25:00,Kingston,No-take,KR2,6,Laura,Yes,Yes,MAC,7,2009-07-05T11:25:00Z,1899-12-30T11:25:00Z,1899-12-30T12:25:00Z,SA,SA,SA,SIR
9KR2-3,-31.99074971,115.5608568,20090705,11:28:00,Kingston,No-take,KR2,5,Laura,Yes,Yes,SG,6,2009-07-05T11:28:00Z,1899-12-30T11:28:00Z,1899-12-30T12:28:00Z,SA,SA,SA,SA
9KR2-4,-31.99074971,115.5608568,20090705,11:30:00,Kingston,No-take,KR2,6,Laura,Yes,Yes,MAC,7,2009-07-05T11:30:00Z,1899-12-30T11:30:00Z,1899-12-30T12:30:00Z,SA,SA,SA,MPR
9PC1-1,-32.02261425,115.5423367,20090705,07:50:00,Parker.Point,Fished,PC1,10,Laura,Yes,Yes,SA,7,2009-07-05T07:50:00Z,1899-12-30T07:50:00Z,1899-12-30T08:50:00Z,KELP,ECK,HPR,HPR
9PC1-2,-32.02261425,115.5423367,20090705,07:40:00,Parker.Point,Fished,PC1,8,Laura,No,No,NA,7,2009-07-05T07:40:00Z,1899-12-30T07:40:00Z,1899-12-30T08:40:00Z,UNKNOWN,NA,UNKNOWN,NA
9PC1-3,-32.02261425,115.5423367,20090705,07:43:00,Parker.Point,Fished,PC1,8,Laura,Yes,Yes,ECK,7,2009-07-05T07:43:00Z,1899-12-30T07:43:00Z,1899-12-30T08:43:00Z,MAC,MAC,MPR,MPR
9PC1-4,-32.02261425,115.5423367,20090705,07:47:00,Parker.Point,Fished,PC1,8,Laura,Yes,Yes,MAC,7,2009-07-05T07:47:00Z,1899-12-30T07:47:00Z,1899-12-30T08:47:00Z,SA,SA,SA,LPR
9PC2-1,-32.02261425,115.5423367,20090705,07:36:00,Parker.Point,Fished,PC2,9,Bryce,Yes,Yes,SA,6,2009-07-05T07:36:00Z,1899-12-30T07:36:00Z,1899-12-30T08:36:00Z,MAC,MAC,HPR,HPR
9PC2-2,-32.02261425,115.5423367,20090705,07:54:00,Parker.Point,Fished,PC2,6,Bryce,Yes,Yes,ECK,6,2009-07-05T07:54:00Z,1899-12-30T07:54:00Z,1899-12-30T08:54:00Z,MAC,MAC,LPR,LPR
9PC2-3,-32.02261425,115.5423367,20090705,08:03:00,Parker.Point,Fished,PC2,8,Bryce,Yes,Yes,MAC,7,2009-07-05T08:03:00Z,1899-12-30T08:03:00Z,1899-12-30T09:03:00Z,SA,SA,SA,SIR
9PC2-4,-32.02261425,115.5423367,20090705,08:07:00,Parker.Point,Fished,PC2,7,Bryce,Yes,Yes,NA,6,2009-07-05T08:07:00Z,1899-12-30T08:07:00Z,1899-12-30T09:07:00Z,MAC,MAC,HPR,HPR
9PC3-1,-32.0217287,115.5162548,20090705,09:44:00,Parker.Point,Fished,PC3,4,Jordan,Yes,Yes,NA,6,2009-07-05T09:44:00Z,1899-12-30T09:44:00Z,1899-12-30T10:44:00Z,MAC,MAC,MPR,MPR
9PC3-2,-32.0217287,115.5162548,20090705,09:23:00,Parker.Point,Fished,PC3,6,Ben S,Yes,Yes,ECK,6,2009-07-05T09:23:00Z,1899-12-30T09:23:00Z,1899-12-30T10:23:00Z,MAC,MAC,MPR,MPR
9PC3-3,-32.0217287,115.5162548,20090705,09:26:00,Parker.Point,Fished,PC3,6,Ben S,Yes,Yes,MAC,6,2009-07-05T09:26:00Z,1899-12-30T09:26:00Z,1899-12-30T10:26:00Z,KELP,ECK,LPR,LPR
9PC3-4,-32.0217287,115.5162548,20090705,09:30:00,Parker.Point,Fished,PC3,10,Ben S,No,No,NA,7,2009-07-05T09:30:00Z,1899-12-30T09:30:00Z,1899-12-30T10:30:00Z,UNKNOWN,NA,UNKNOWN,NA
9PC4-1,-32.0217287,115.5162548,20090705,09:32:00,Parker.Point,Fished,PC4,8,BenP,Yes,Yes,NA,6,2009-07-05T09:32:00Z,1899-12-30T09:32:00Z,1899-12-30T10:32:00Z,UNKNOWN,NA,UNKNOWN,NA
9PC4-2,-32.0217287,115.5162548,20090705,09:36:00,Parker.Point,Fished,PC4,8,BenP,Yes,Yes,NA,5,2009-07-05T09:36:00Z,1899-12-30T09:36:00Z,1899-12-30T10:36:00Z,MAC,MAC,MPR,MPR
9PC4-3,-32.0217287,115.5162548,20090705,09:39:00,Parker.Point,Fished,PC4,6,Jordan,Yes,Yes,ECK,6,2009-07-05T09:39:00Z,1899-12-30T09:39:00Z,1899-12-30T10:39:00Z,MAC,MAC,MPR,MPR
9PC4-4,-32.0217287,115.5162548,20090705,09:20:00,Parker.Point,Fished,PC4,7,Bryce,Yes,Yes,MAC,6,2009-07-05T09:20:00Z,1899-12-30T09:20:00Z,1899-12-30T10:20:00Z,KELP,ECK,MPR,MPR
9PR1-1,-32.02643384,115.5238024,20090703,07:35:00,Parker.Point,No-take,PR1,11,BenP,Yes,Yes,MAC,7,2009-07-03T07:35:00Z,1899-12-30T07:35:00Z,1899-12-30T08:35:00Z,KELP,ECK,MPR,MPR
9PR1-2,-32.02643384,115.5238024,20090703,08:10:00,Parker.Point,No-take,PR1,10,Ben S,Yes,Yes,NA,6,2009-07-03T08:10:00Z,1899-12-30T08:10:00Z,1899-12-30T09:10:00Z,SA,SA,SA,SA
9PR1-3,-32.02643384,115.5238024,20090703,08:20:00,Parker.Point,No-take,PR1,7,Ben S,Yes,Yes,MAC,6,2009-07-03T08:20:00Z,1899-12-30T08:20:00Z,1899-12-30T09:20:00Z,KELP,ECK,MPR,MPR
9PR1-4,-32.02643384,115.5238024,20090703,08:27:00,Parker.Point,No-take,PR1,2,Jordan,Yes,Yes,MAC,5,2009-07-03T08:27:00Z,1899-12-30T08:27:00Z,1899-12-30T09:27:00Z,KELP,ECK,MPR,MPR
9PR2-1,-32.02643384,115.5238024,20090703,07:25:00,Parker.Point,No-take,PR2,7,Bryce,Yes,Yes,MAC,7,2009-07-03T07:25:00Z,1899-12-30T07:25:00Z,1899-12-30T08:25:00Z,KELP,ECK,MPR,MPR
9PR2-2,-32.02643384,115.5238024,20090703,07:55:00,Parker.Point,No-take,PR2,6,Ben S,No,No,NA,6,2009-07-03T07:55:00Z,1899-12-30T07:55:00Z,1899-12-30T08:55:00Z,UNKNOWN,NA,UNKNOWN,NA
