"project","campaignid","sample","family","genus","species","length","range","number","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BE03","Sparidae","Pagrus","auratus",282.33307,"2177.77883",1,"-32.41761","152.55824","20110801","09:53:00","Belmona","Fished","Pinnacle","42","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BE03","Sparidae","Pagrus","auratus",273.80994,"2220.02512",1,"-32.41761","152.55824","20110801","09:53:00","Belmona","Fished","Pinnacle","42","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BE03","Sparidae","Pagrus","auratus",297.21063,"1606.27396",1,"-32.41761","152.55824","20110801","09:53:00","Belmona","Fished","Pinnacle","42","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BE03","Sparidae","Pagrus","auratus",249.17075,"1825.58914",1,"-32.41761","152.55824","20110801","09:53:00","Belmona","Fished","Pinnacle","42","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BE03","Sparidae","Pagrus","auratus",254.57415,"1283.2915",1,"-32.41761","152.55824","20110801","09:53:00","Belmona","Fished","Pinnacle","42","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Labridae","Ophthalmolepis","lineolatus",193.25662,"2540.40777",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Labridae","Ophthalmolepis","lineolatus",257.84675,"1811.80964",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Labridae","Ophthalmolepis","lineolatus",233.76797,"1676.13817",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Labridae","Ophthalmolepis","lineolatus",223.14813,"1829.80918",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Sparidae","Pagrus","auratus",189.73948,"2136.9853",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Sparidae","Pagrus","auratus",267.9756,"2342.01871",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH01","Sparidae","Pagrus","auratus",307.68306,"3750.42421",1,"-32.06488833","152.5705217","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Sparidae","Pagrus","auratus",267.10905,"1512.36439",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Sparidae","Pagrus","auratus",406.59904,"2098.75864",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Sparidae","Pagrus","auratus",278.2416,"2553.90618",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Cheilodactylidae","Nemadactylus","douglasii",256.40436,"1521.65684",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Labridae","Ophthalmolepis","lineolatus",254.40055,"2054.36378",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Labridae","Ophthalmolepis","lineolatus",247.68379,"2825.77492",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Labridae","Ophthalmolepis","lineolatus",316.22211,"2379.10308",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Labridae","Ophthalmolepis","lineolatus",203.74833,"4327.07471",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH02","Labridae","Ophthalmolepis","lineolatus",254.36654,"1480.28041",1,"-32.06542167","152.5670233","20110801","09:53:00","Black.Head","Fished","Black.Head","25","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH03","Cheilodactylidae","Nemadactylus","douglasii",268.23297,"2454.19987",1,"-32.066815","152.5641","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH03","Labridae","Ophthalmolepis","lineolatus",212.65109,"1582.52726",1,"-32.066815","152.5641","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH03","Labridae","Ophthalmolepis","lineolatus",281.5484,"1991.69281",1,"-32.066815","152.5641","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH03","Labridae","Ophthalmolepis","lineolatus",324.16594,"2305.58347",1,"-32.066815","152.5641","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH03","Sparidae","Pagrus","auratus",324.20562,"2111.25328",1,"-32.066815","152.5641","20110801","09:53:00","Black.Head","Fished","Black.Head","26","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Labridae","Ophthalmolepis","lineolatus",242.9321,"2454.48365",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Labridae","Ophthalmolepis","lineolatus",236.54729,"4673.68097",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Labridae","Ophthalmolepis","lineolatus",296.70473,"3671.39127",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Labridae","Ophthalmolepis","lineolatus",258.91694,"1631.53022",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Sparidae","Pagrus","auratus",219.28269,"2183.63306",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Sparidae","Pagrus","auratus",205.47955,"1752.92536",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Cheilodactylidae","Nemadactylus","douglasii",298.61998,"2036.13121",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH07","Cheilodactylidae","Nemadactylus","douglasii",308.30569,"2244.76357",1,"-32.06459833","152.59638","20110801","09:53:00","Black.Head","Fished","Black.Head","29","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Cheilodactylidae","Nemadactylus","douglasii",341.09012,"2180.77421",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Sparidae","Pagrus","auratus",258.80867,"1495.92496",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Sparidae","Pagrus","auratus",268.23623,"1301.28632",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Sparidae","Pagrus","auratus",230.28296,"1425.59676",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Sparidae","Pagrus","auratus",164.85753,"1307.47487",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Labridae","Ophthalmolepis","lineolatus",274.86736,"1408.26202",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Labridae","Ophthalmolepis","lineolatus",227.87185,"2049.46323",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Labridae","Ophthalmolepis","lineolatus",324.39185,"2398.93782",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BH11","Labridae","Ophthalmolepis","lineolatus",267.14676,"1108.27951",1,"-32.067642","152.60141","20110801","09:53:00","Black.Head","Fished","Black.Head","27","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Labridae","Ophthalmolepis","lineolatus",271.87847,"2359.86473",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Labridae","Ophthalmolepis","lineolatus",121.1215,"1801.11025",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Labridae","Ophthalmolepis","lineolatus",254.16365,"2352.67376",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Labridae","Ophthalmolepis","lineolatus",245.23301,"1522.19795",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Labridae","Ophthalmolepis","lineolatus",140.72265,"1932.12155",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Cheilodactylidae","Nemadactylus","douglasii",452.07696,"1872.08348",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Cheilodactylidae","Nemadactylus","douglasii",302.88656,"1060.50782",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Sparidae","Pagrus","auratus",311.51197,"2473.91667",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Sparidae","Pagrus","auratus",339.18462,"2418.84652",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BOO02","Sparidae","Pagrus","auratus",251.09053,"2253.67077",1,"-32.70889","152.23225","20110801","09:53:00","Boondelbah","Fished","Cabbage.Tree","22","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Cheilodactylidae","Nemadactylus","douglasii",276.96871,"1340.54199",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Cheilodactylidae","Nemadactylus","douglasii",217.90088,"1980.92758",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Cheilodactylidae","Nemadactylus","douglasii",259.80694,"964.03805",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Cheilodactylidae","Nemadactylus","douglasii",448.97868,"948.256",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",352.56865,"1984.94764",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",190.83948,"2144.1159",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",238.38301,"1379.29838",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",510.49756,"2059.77523",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",327.76433,"1440.54042",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",190.40239,"2086.95251",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Sparidae","Pagrus","auratus",245.76697,"1020.15893",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Labridae","Ophthalmolepis","lineolatus",253.20395,"3516.28808",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","BS05","Labridae","Ophthalmolepis","lineolatus",311.30073,"1701.87527",1,"-32.46048","152.55324","20110801","09:53:00","Big.Seal.Rock","No-take","Seal.Rocks","31.6","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Cheilodactylidae","Nemadactylus","douglasii",373.6003,"1868.00867",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Labridae","Ophthalmolepis","lineolatus",272.21734,"1715.78228",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Labridae","Ophthalmolepis","lineolatus",234.45668,"1448.2229",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Labridae","Ophthalmolepis","lineolatus",223.12258,"3013.6622",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Labridae","Ophthalmolepis","lineolatus",129.04587,"2946.21223",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Labridae","Ophthalmolepis","lineolatus",150.37241,"2445.91451",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Sparidae","Pagrus","auratus",157.39022,"2206.51442",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Sparidae","Pagrus","auratus",184.25352,"5215.03359",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT02","Sparidae","Pagrus","auratus",269.41012,"1949.79626",1,"-32.693725","152.225882","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.9","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Sparidae","Pagrus","auratus",770.19462,"2347.40598",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Sparidae","Pagrus","auratus",286.39904,"3011.54942",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Sparidae","Pagrus","auratus",264.20552,"1933.69065",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Sparidae","Pagrus","auratus",414.74014,"2353.93752",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Sparidae","Pagrus","auratus",411.9297,"3481.44337",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Sparidae","Pagrus","auratus",373.56898,"2553.69936",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Labridae","Ophthalmolepis","lineolatus",268.54989,"3518.28836",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT03","Labridae","Ophthalmolepis","lineolatus",443.39855,"1675.061",1,"-32.69226667","152.2276183","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18.4","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT09","Sparidae","Pagrus","auratus",168.54197,"2776.17474",1,"-32.684293","152.225449","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18","DH","Yes","Yes",NA
"Port Stephens-Great Lakes Marine Park MER Program","2011-08_PSGLMP_StereoBRUVs","CT09","Labridae","Ophthalmolepis","lineolatus",232.33519,"2192.9838",1,"-32.684293","152.225449","20110801","09:53:00","Cabbage.Tree.Island","No-take","Cabbage.Tree.Island","18","DH","Yes","Yes",NA
