"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB331","Muraenidae","Gymnothorax","thrysoideus",0,2,2,Inf
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1510","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1510","Muraenidae","Gymnothorax","thrysoideus",0,2,2,Inf
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1512","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1557","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2015-09_Dampier.transect_stereoBRUVs","NCB1462","Carangidae","Selaroides","leptolepis",40,38,2,5
"2015-09_Dampier.transect_stereoBRUVs","NCB1480","Labridae","Oxycheilinus","rhodochrous",0,2,2,Inf
"2015-09_Dampier.transect_stereoBRUVs","NCB1487","Caesionidae","Pterocaesio","chrysozona",38,36,2,5.26315789473684
"2015-09_Dampier.transect_stereoBRUVs","NCB1487","Carangidae","Atule","mate",3,1,2,66.6666666666667
"2015-09_Dampier.transect_stereoBRUVs","NCB1499","Rhynchobatidae","Rhynchobatus","australiae",0,2,2,Inf
"2015-09_Dampier.transect_stereoBRUVs","NCB1500","Synodontidae","Saurida","undosquamis",3,1,2,66.6666666666667
"2015-09_Dampier.transect_stereoBRUVs","NCB1535","Labridae","Leptojulis","chrysotaenia",0,2,2,Inf
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB250","Latidae","Psammoperca","waigiensis",0,2,2,Inf
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB278","Pomacentridae","Neopomacentrus","azysron",9,7,2,22.2222222222222
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1434","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1438","Monacanthidae","Paramonacanthus","choirocephalus",3,1,2,66.6666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB101","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB106","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB109","Carangidae","Caranx","papuensis",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB11","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB11","Plotosidae","Paraplotosus","butleri",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB111","Rhynchobatidae","Rhynchobatus","australiae",0,1,1,Inf
