"campaignid","sample","family","genus","species","length"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB266","Serranidae","Epinephelus","malabaricus",1064.73138
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB81","Carcharhinidae","Carcharhinus","melanopterus",1028.92658
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB248","Carcharhinidae","Carcharhinus","amboinensis",1790.06245
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB244","Carcharhinidae","Carcharhinus","amblyrhynchos",1066.32846
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB25","Ginglymostomatidae","Nebrius","ferrugineus",1435.59642
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB25","Carcharhinidae","Triaenodon","obesus",1147.8137
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB125","Carcharhinidae","Negaprion","acutidens",1908.9066
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB116","Carcharhinidae","Triaenodon","obesus",1142.75746
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB80","Carcharhinidae","Carcharhinus","tilstoni",1075.4017
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB80","Carcharhinidae","Carcharhinus","melanopterus",1125.56557
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB262","Carcharhinidae","Carcharhinus","amblyrhynchos",1018.55488
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB262","Sphyrnidae","Sphyrna","mokarran",2983.66761
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB176","Dasyatidae","Taeniurops","meyeni",1211.339
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB140","Sphyrnidae","Sphyrna","mokarran",1850.01207
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB48","Carcharhinidae","Galeocerdo","cuvier",3159.82193
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB128","Carcharhinidae","Galeocerdo","cuvier",2499.12993
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB173","Rhinidae","Rhina","ancylostoma",1797.95586
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB264","Serranidae","Epinephelus","malabaricus",1091.99965
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB422","Rhynchobatidae","Rhynchobatus","australiae",1385.05963
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB433","Carcharhinidae","Carcharhinus","plumbeus",1279.66625
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB441","Carcharhinidae","Carcharhinus","plumbeus",1200.41317
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB497","Serranidae","Epinephelus","malabaricus",1082.96246
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB483","Carcharhinidae","Negaprion","acutidens",2135.83877
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB468","Serranidae","Epinephelus","tukula",1073.76678
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB453","Sphyraenidae","Sphyraena","jello",1030.06563
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB453","Sphyraenidae","Sphyraena","jello",1049.45689
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1366.7312
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1369.12368
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1186.17844
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1096.6002
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1053.73685
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB447","Serranidae","Epinephelus","coioides",1013.57805
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB506","Serranidae","Epinephelus","tukula",1042.83629
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB420","Carcharhinidae","Carcharhinus","amblyrhynchos",1033.42329
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB504","Serranidae","Epinephelus","tukula",1080.53976
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB455","Sphyraenidae","Sphyraena","jello",1102.13004
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB480","Hemigaleidae","Hemipristis","elongata",1246.31915
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB480","Sphyraenidae","Sphyraena","jello",1102.34179
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB424","Scombridae","Scomberomorus","spp",1063.4863
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB424","Carcharhinidae","Carcharhinus","plumbeus",2272.03471
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Sphyraenidae","Sphyraena","jello",1085.00292
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB496","Carcharhinidae","Carcharhinus","limbatus",1941.19291
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB496","Ginglymostomatidae","Nebrius","ferrugineus",1283.48473
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB496","Serranidae","Epinephelus","malabaricus",1203.37713
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB464","Sphyraenidae","Sphyraena","jello",1127.36298
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB395","Carcharhinidae","Galeocerdo","cuvier",1215.24561
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB395","Carcharhinidae","Carcharhinus","limbatus",1709.33195
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB454","Serranidae","Epinephelus","malabaricus",1092.93763
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB435","Carcharhinidae","Carcharhinus","limbatus",2492.31072
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB435","Sphyrnidae","Sphyrna","lewini",1315.24424
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB508","Carangidae","Seriola","dumerili",1047.63107
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB456","Sphyraenidae","Sphyraena","jello",1181.01833
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB456","Sphyraenidae","Sphyraena","jello",1049.54995
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB456","Serranidae","Epinephelus","lanceolatus",2050.71012
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB396","Carcharhinidae","Carcharhinus","plumbeus",1305.26107
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB444","Carcharhinidae","Carcharhinus","limbatus",1042.89543
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB451","Serranidae","Epinephelus","coioides",1168.18764
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB432","Carcharhinidae","Galeocerdo","cuvier",1107.1648
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB432","Carcharhinidae","Carcharhinus","plumbeus",1323.34672
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB409","Sphyrnidae","Sphyrna","lewini",1186.51534
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB409","Carcharhinidae","Carcharhinus","plumbeus",1109.29131
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB473","Serranidae","Epinephelus","tukula",1405.86478
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB512","Dasyatidae","Taeniurops","meyeni",1437.77688
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB458","Serranidae","Epinephelus","tukula",1160.85655
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB517","Rhynchobatidae","Rhynchobatus","australiae",1013.09711
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB427","Sphyrnidae","Sphyrna","lewini",1408.34975
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB474","Serranidae","Epinephelus","malabaricus",1008.11983
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB484","Sphyraenidae","Sphyraena","jello",1083.03077
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB489","Carcharhinidae","Carcharhinus","plumbeus",1310.23591
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB498","Serranidae","Epinephelus","malabaricus",1175.71514
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB412","Carcharhinidae","Carcharhinus","plumbeus",1437.42736
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Carcharhinidae","Carcharhinus","amblyrhynchos",1330.18671
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carcharhinidae","Carcharhinus","amblyrhynchos",1138.87913
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Carcharhinidae","Carcharhinus","amboinensis",1518.39961
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB575","Carcharhinidae","Carcharhinus","melanopterus",1126.55527
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB556","Scombridae","Scomberomorus","spp",1168.82168
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB556","Carcharhinidae","Carcharhinus","amblyrhynchos",1087.15119
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB556","Carcharhinidae","Carcharhinus","amblyrhynchos",1306.77185
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Rhynchobatidae","Rhynchobatus","australiae",2317.5584
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB550","Carcharhinidae","Carcharhinus","amblyrhynchos",1577.82535
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB597","Scombridae","Scomberomorus","spp",1215.87855
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB597","Carcharhinidae","Carcharhinus","amblyrhynchos",1537.0337
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566","Ginglymostomatidae","Nebrius","ferrugineus",1303.48176
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Carcharhinidae","Carcharhinus","amblyrhynchos",1109.68968
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Serranidae","Epinephelus","malabaricus",1131.82901
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB557","Carcharhinidae","Carcharhinus","amblyrhynchos",1624.87291
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB557","Ginglymostomatidae","Nebrius","ferrugineus",1136.2744
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB558","Carcharhinidae","Carcharhinus","amblyrhynchos",1159.74341
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB598","Carcharhinidae","Triaenodon","obesus",1069.14998
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Ginglymostomatidae","Nebrius","ferrugineus",2079.07934
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB578","Sphyraenidae","Sphyraena","jello",1222.92831
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB565","Serranidae","Epinephelus","malabaricus",1255.39927
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB551","Carcharhinidae","Carcharhinus","amblyrhynchos",1096.85775
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533","Rhynchobatidae","Rhynchobatus","australiae",2309.99446
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB532","Sphyrnidae","Sphyrna","mokarran",3031.17734
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB542","Carcharhinidae","Galeocerdo","cuvier",2134.55123
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB545","Elopidae","Elops","hawaiensis",1095.94631
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB298","Ginglymostomatidae","Nebrius","ferrugineus",1235.04859
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB298","Carcharhinidae","Triaenodon","obesus",1075.89302
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB374","Carangidae","Trachinotus","blochii",1486.71271
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB354","Carcharhinidae","Carcharhinus","amblyrhynchos",1045.42861
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB341","Ginglymostomatidae","Nebrius","ferrugineus",1947.15318
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB341","Dasyatidae","Taeniurops","meyeni",1310.1707
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB363","Carcharhinidae","Triaenodon","obesus",1200.81415
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB363","Carcharhinidae","Triaenodon","obesus",1179.79432
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB363","Carcharhinidae","Triaenodon","obesus",1130.51647
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB363","Carcharhinidae","Triaenodon","obesus",1137.9517
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB362","Carcharhinidae","Carcharhinus","amblyrhynchos",1554.76127
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB376","Carcharhinidae","Triaenodon","obesus",1068.03027
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB376","Scombridae","Scomberomorus","spp",1144.99198
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB330","Carcharhinidae","Carcharhinus","amblyrhynchos",1879.27603
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB368","Carcharhinidae","Carcharhinus","amblyrhynchos",1256.81148
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB368","Lethrinidae","Lethrinus","nebulosus",1010.8632
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB305","Scombridae","Scomberomorus","spp",1200.88214
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB329","Carcharhinidae","Carcharhinus","amblyrhynchos",1455.53466
