"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB306","Labridae","Cirrhilabrus","temminckii",163.77063,116,"FL",41.1815775862069
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB330","Carangidae","Atule","mate",422.77401,300,"TL",40.92467
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Pomacentridae","Neopomacentrus","azysron",105.47338,75,"TL",40.6311733333333
"2015-09_Dampier.transect_stereoBRUVs","NCB1452","Tetraodontidae","Feroxodon","multistriatus",548.16821,390,"TL",40.5559512820513
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB302","Acanthuridae","Acanthurus","triostegus",378.43189,270,"TL",40.1599592592593
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB337","Scaridae","Scarus","chameleon",432.82651,310,"TL",39.6214548387097
"2015-09_Dampier.transect_stereoBRUVs","NCB1447","Tetraodontidae","Feroxodon","multistriatus",543.67197,390,"TL",39.4030692307692
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB381","Pomacentridae","Dascyllus","reticulatus",124.86801,90,"TL",38.7422333333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",692.49743,500,"TL",38.499486
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB342","Tetraodontidae","Feroxodon","multistriatus",539.49101,390,"TL",38.3310282051282
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB373","Kyphosidae","Kyphosus","vaigiensis",967.02527,700,"TL",38.1464671428571
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1304","Terapontidae","Pelates","octolineatus",386.37012,280,"TL",37.9893285714286
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB392","Pomacentridae","Amblypomacentrus","breviceps",117.11148,85,"TL",37.7782117647059
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB372","Caesionidae","Pterocaesio","tile",413.14349,300,"TL",37.7144966666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB459","Serranidae","Epinephelus","bilobatus",547.82865,400,"TL",36.9571625
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Labridae","Anampses","lennardi",383.38601,280,"TL",36.923575
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB598","Chaetodontidae","Chaetodon","lunulatus",191.28796,140,"TL",36.6342571428571
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB238","Tetraodontidae","Feroxodon","multistriatus",532.25478,390,"TL",36.4755846153846
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1297","Tetraodontidae","Lagocephalus","lunaris",613.35491,450,"SL",36.3010911111111
"2015-09_Dampier.transect_stereoBRUVs","NCB1471","Tetraodontidae","Lagocephalus","lunaris",611.32457,450,"SL",35.8499044444444
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1275","Tetraodontidae","Lagocephalus","lunaris",610.83866,450,"SL",35.7419244444444
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB330","Carangidae","Atule","mate",406.27827,300,"TL",35.42609
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB374","Carangidae","Trachinotus","blochii",1486.71271,1100,"FL",35.1557009090909
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",540.23992,400,"SL",35.05998
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB210","Scaridae","Scarus","tricolor",358.86014,266,"SL",34.9098270676692
