OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB1316	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.1026305359	0.0462764749	5.5466611521	0.0016633847	0.0003935496	0.0000000000	-0.0008183750	0.0004256039	0.0000000000	-0.0000333741	321.2195119559	0.0000000000	0.0000000000	0.5311974875	8.1984818835	-1.7952085582	mm
MNCB248	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0388084539	-0.0146168358	4.3452465588	-0.0057201395	0.0003173013	0.0000000000	0.0000141594	0.0000359656	0.0000000000	-0.0072913947	-249.4015389286	0.0000000000	0.0000000000	-0.2957241970	-4.1389856839	1.4918369452	mm
MNCB248	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0625415716	-0.0106026011	4.3308422850	-0.0058539608	0.0003425060	0.0000000000	-0.0002065118	0.0002075452	0.0000000000	-0.0072694643	249.4015389286	0.0000000000	0.0000000000	0.2957241970	5.9088020209	1.2460222370	mm
NCB1319	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0408439963	0.0872088543	5.5676137910	0.0019864570	0.0003216347	0.0000000000	-0.0007738287	0.0008903610	0.0000000000	-0.0004527913	-323.6205581256	0.0000000000	0.0000000000	-0.3193856674	-7.6343987781	1.0424549426	mm
NCB1319	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0366051190	0.0734015665	5.5456411230	-0.0000688775	0.0008549194	0.0000000000	-0.0005681353	0.0002444009	0.0000000000	-0.0001224735	323.6205581256	0.0000000000	0.0000000000	0.3193856674	8.5537718827	-1.4096942789	mm
MNCB230	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	0.0505115178	-0.0249374695	4.3296660130	-0.0054046237	0.0003030723	0.0000000000	0.0002669726	0.0001503175	0.0000000000	-0.0072749195	-250.5752866549	0.0000000000	0.0000000000	-0.0775360450	-5.1362302489	1.6984933541	mm
MNCB230	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0321561366	-0.0242898886	4.3504630240	-0.0055034670	0.0003339371	0.0000000000	-0.0000899492	0.0001617521	0.0000000000	-0.0072128435	250.5752866549	0.0000000000	0.0000000000	0.0775360450	5.0922019211	2.3996294454	mm
MNCB246	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0377037878	0.0027628526	3.7107245545	-0.0083930223	0.0005159831	0.0000000000	0.0000709673	-0.0001237811	0.0000000000	0.0004246476	-249.6005041385	0.0000000000	0.0000000000	0.1826698264	-3.4461485439	0.3671248131	mm
MNCB246	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0128974226	0.0297005879	3.6725583480	-0.0081365345	0.0003252570	0.0000000000	-0.0005646612	-0.0003121661	0.0000000000	0.0006785516	249.6005041385	0.0000000000	0.0000000000	-0.1826698264	6.9412271705	0.0719573853	mm
MNCB202	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0035905729	-0.0903088286	4.3245508186	-0.0060976805	0.0003418280	0.0000000000	-0.0000648945	0.0001685574	0.0000000000	-0.0074364430	-248.5192936805	0.0000000000	0.0000000000	0.0090859332	-5.0331796033	0.8194328428	mm
