"campaignid","sample","family","genus","species","length","range","number","comment","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB208","Carcharhinidae","Negaprion","acutidens",1986.75335,2874.7754,1,"NA","Pilbara Marine Conservation Partnership",-21.6186425,114.3893691,20140513,14:41:00,"Muirons","Fished","NA",10.7,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB152","Carcharhinidae","Triaenodon","obesus",1005.95514,1518.46197,1,"NA","Pilbara Marine Conservation Partnership",-21.488636,114.8873829,20140511,14:08:00,"Pilbara","Fished","NA",10.1,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB250","Carcharhinidae","Carcharhinus","amboinensis",1513.17464,2204.65854,1,"NA","Pilbara Marine Conservation Partnership",-21.8031596,114.1888546,20140515,08:48:00,"Between.Murat.and.Lighthouse","Fished","NA",10.5,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB126","Scombridae","Scomberomorus","spp",1001.75704,5898.86731,1,"NA","Pilbara Marine Conservation Partnership",-21.3221711,114.9890674,20140510,14:24:00,"Pilbara","Fished","NA",12.7,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB186","Carcharhinidae","Carcharhinus","amblyrhynchos",1155.95713,4234.40489,1,"NA","Pilbara Marine Conservation Partnership",-21.5874858,114.6167322,20140512,15:56:00,"Pilbara","Fished","NA",10,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB61","Sphyraenidae","Sphyraena","barracuda",1222.45532,3272.0029,1,"NA","Pilbara Marine Conservation Partnership",-20.8760258,115.9257572,20140508,12:19:00,"Pilbara","Fished","NA",7.6,"ET","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB218","Sphyraenidae","Sphyraena","barracuda",1318.60004,1927.07524,1,"NA","Pilbara Marine Conservation Partnership",-21.6625,114.3393333,20140514,08:00:00,"E.Muiron.Sanctuary","No-take","NA",10.8,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB44","Carcharhinidae","Carcharhinus","limbatus",1135.8324,5411.2377,1,"NA","Pilbara Marine Conservation Partnership",-20.758314,116.3142113,20140507,14:25:00,"Pilbara","Fished","NA",8,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB71","Carcharhinidae","Carcharhinus","melanopterus",1030.8979,2933.69534,1,"NA","Pilbara Marine Conservation Partnership",-21.0060208,115.838765,20140508,15:00:00,"Pilbara","Fished","NA",7.8,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB84","Carangidae","Caranx","ignobilis",1050.66007,1545.6523,1,"NA","Pilbara Marine Conservation Partnership",-21.0917795,115.6523788,20140509,08:57:00,"Pilbara","Fished","NA",8.6,"Todd","Yes","Yes"
