OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB1458	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0572484389	-0.0286213039	3.7083501999	-0.0085128537	0.0007801977	0.0000000000	0.0000492393	0.0002121700	0.0000000000	0.0007365002	-347.5104396171	0.0000000000	0.0000000000	-0.5132091351	-6.6659868568	-1.1149693826	mm
NCB1458	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0514449542	0.0395644149	3.7122246498	-0.0080337276	0.0005849781	0.0000000000	-0.0004946046	0.0002174364	0.0000000000	0.0005114495	347.5104396171	0.0000000000	0.0000000000	0.5132091351	8.3920584271	-1.5916615421	mm
NCB1493	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0581120352	0.0046977397	5.5370961825	-0.0002981559	0.0012627388	0.0000000000	-0.0004578390	-0.0003456260	0.0000000000	0.0001237518	-323.2527034671	0.0000000000	0.0000000000	-0.4965983796	-7.2494276064	2.2514657618	mm
NCB1493	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0315188117	0.0564255984	5.5403123167	-0.0003465647	0.0009935350	0.0000000000	-0.0004302964	0.0004576537	0.0000000000	0.0000476433	323.2527034671	0.0000000000	0.0000000000	0.4965983796	8.5100317354	-0.4405396014	mm
NCB1475	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0174942164	-0.0279217666	3.6850568709	-0.0083718600	0.0006139253	0.0000000000	0.0001414218	-0.0002251208	0.0000000000	0.0001466605	-348.7598828236	0.0000000000	0.0000000000	-0.2042842382	-7.2320746697	0.9807371576	mm
NCB1475	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0800047694	-0.0291503955	3.6880130536	-0.0105047677	0.0025342190	0.0000000000	-0.0004663158	-0.0002603106	0.0000000000	0.0004700446	348.7598828236	0.0000000000	0.0000000000	0.2042842382	8.6648776833	-0.6521750068	mm
NCB1478	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0572484389	-0.0286213039	3.7083501999	-0.0085128537	0.0007801977	0.0000000000	0.0000492393	0.0002121700	0.0000000000	0.0007365002	-347.5104396171	0.0000000000	0.0000000000	-0.5132091351	-6.6659868568	-1.1149693826	mm
NCB1478	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0514449542	0.0395644149	3.7122246498	-0.0080337276	0.0005849781	0.0000000000	-0.0004946046	0.0002174364	0.0000000000	0.0005114495	347.5104396171	0.0000000000	0.0000000000	0.5132091351	8.3920584271	-1.5916615421	mm
NCB1477	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0174942164	-0.0279217666	3.6850568709	-0.0083718600	0.0006139253	0.0000000000	0.0001414218	-0.0002251208	0.0000000000	0.0001466605	-348.7598828236	0.0000000000	0.0000000000	-0.2042842382	-7.2320746697	0.9807371576	mm
NCB1477	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0800047694	-0.0291503955	3.6880130536	-0.0105047677	0.0025342190	0.0000000000	-0.0004663158	-0.0002603106	0.0000000000	0.0004700446	348.7598828236	0.0000000000	0.0000000000	0.2042842382	8.6648776833	-0.6521750068	mm
